"","ph","Hardness","Solids","Chloramines","Sulphate","Conductivity","Organic_carbon","Trihalomethanes","Turbidity","Potability"
"1669",0.719116643,0.352501907,0.646816821,0.324960152,0.743998666,0.408434697,0.592290942,0.534507676,0.439929854,0
"2991",0.367399106,0.482243295,0.532287249,0.597799809,0.566534291,0.363303616,0.449930376,0.534507676,0.31124305,0
"2537",0.68320379,0.741315183,0.27641487,0.461931877,0.618426872,0.400166352,0.629391789,0.667017183,0.327624382,0
"709",0.412062002,0.496797161,0.506270612,0.629419455,0.646400255,0.347311318,0.315338689,0.807172266,0.310574093,1
"864",0.548956917,0.663434948,0.114992442,0.597993439,0.575269619,0.544481613,0.461070943,0.594916991,0.516011936,0
"3199",0.535934698,0.505206277,0.520131096,0.570628295,0.531130318,0.510699186,0.377361326,0.345138619,0.539896696,1
"2360",0.560851835,0.681580574,0.237128976,0.578471647,0.595412152,0.566891421,0.370244075,0.396394521,0.709783358,1
"1031",0.686323828,0.667078581,0.069350828,0.487345131,0.488373196,0.257792174,0.367418364,0.631420731,0.301152759,0
"3224",0.578389555,0.622290223,0.292110265,0.457530129,0.579703927,0.3411437,0.59564228,0.480050144,0.534899301,1
"2591",0.50262515,0.4925348,0.32821687,0.504023278,0.717150706,0.28588052,0.342469698,0.575737818,0.460836061,0
"2472",0.541125563,0.567489709,0.337146493,0.607225977,0.582413561,0.613486045,0.46114993,0.599541672,0.32641946,0
"3050",0.700714028,0.332569326,0.270883196,0.582386065,0.659113187,0.4488791,0.335292644,0.274207857,0.772962849,0
"3271",0.433543983,0.505009357,0.423894693,0.578907826,0.615572144,0.409896942,0.378069715,0.484187512,0.419684573,1
"2005",0.535598033,0.686571968,0.351613004,0.488185213,0.790590503,0.20583836,0.71025531,0.548233414,0.527933787,1
"2304",0.579364359,0.548932125,0.572681035,0.730598059,0.579703927,0.292882826,0.64643428,0.585205206,0.418562099,1
"2206",0.489492792,0.401345673,0.19035026,0.570095251,0.730525567,0.510894569,0.564726992,0.502648597,0.594585104,0
"2198",0.676223502,0.441733556,0.542544829,0.634715443,0.531091261,0.469067131,0.314053473,0.597012039,0.324104366,0
"2339",0.569521967,0.6894112,0.380859716,0.391586396,0.439120394,0.520075633,0.50036772,0.429438744,0.260183766,1
"2010",0.494147317,0.513184513,0.225453098,0.457157945,0.579703927,0.27425838,0.600003862,0.53543696,0.400132059,1
"1891",0.678160189,0.82482034,0.353966307,0.384635486,0.669494658,0.698764025,0.438161455,0.497977017,0.328800442,1
"3038",0.528396001,0.498414625,0.319772845,0.631702547,0.733431334,0.431804147,0.419289034,0.49974831,0.472138001,0
"3177",0.615068788,0.281933352,0.521437955,0.743085826,0.38363944,0.281050987,0.411776871,0.431700519,0.598298432,1
"304",0.50262515,0.486982443,0.450778633,0.566565069,0.480715877,0.412947079,0.246363632,0.585624839,0.445815856,1
"1349",0.494431559,0.558515019,0.26589929,0.634912212,0.650327542,0.270281195,0.717590162,0.485006768,0.528067161,0
"3077",0.514824186,0.462012565,0.254086505,0.516793842,0.579703927,0.654204174,0.458665293,0.485090862,0.537944638,0
"2810",0.589828323,0.583884065,0.324894121,0.460162961,0.30330025,0.606067205,0.46784591,0.60235058,0.582071266,1
"670",0.50262515,0.504777994,0.479030739,0.607886322,0.708547697,0.76013771,0.488995391,0.524951425,0.193852234,1
"2951",0.451176466,0.506355339,0.530829896,0.610346577,0.526114275,0.492879414,0.461433743,0.482964578,0.652814424,0
"2391",0.502392504,0.523947799,0.476171107,0.679065126,0.579703927,0.550336043,0.574392575,0.341765363,0.421432613,1
"2243",0.474689813,0.445561407,0.379454749,0.525601961,0.579703927,0.580355071,0.692133274,0.634119907,0.514399275,0
"1668",0.527150345,0.690954533,0.271591174,0.5283614,0.503316768,0.519657527,0.423543118,0.747404367,0.676962035,0
"729",0.50791751,0.603769195,0.405912182,0.445905052,0.33222748,0.567013646,0.543415344,0.737802616,0.805973176,1
"1906",0.497704386,0.495123095,0.214757944,0.477940239,0.689679631,0.440240923,0.474491625,0.529694116,0.651014421,1
"723",0.632889347,0.530704936,0.390176184,0.456446929,0.579703927,0.603682465,0.295070024,0.65390258,0.610269111,1
"2064",0.660749403,0.496967669,0.368241921,0.551832702,0.698826448,0.44593172,0.505860565,0.357376729,0.481440571,0
"2337",0.749338859,0.629678263,0.521639635,0.960853209,0.580403684,0.388802661,0.324283549,0.707884068,0.27170031,1
"1636",0.50262515,0.403577938,0.137921622,0.60684912,0.842853704,0.506400792,0.503982748,0.601545292,0.367202528,1
"1593",0.412340693,0.502838688,0.433006753,0.427129511,0.579703411,0.229751812,0.38989549,0.259797512,0.511379358,1
"2889",0.615618132,0.762314042,0.185110916,0.473419432,0.579703927,0.283734787,0.503109826,0.608049525,0.508856466,0
"1302",0.245276719,0.381034181,0.262662536,0.440007658,0.522864474,0.404700877,0.297706684,0.549800766,0.501973606,0
"2588",0.407751245,0.506542656,0.194933492,0.621252831,0.632255352,0.692337008,0.465810279,0.534507676,0.358155578,0
"358",0.553475336,0.697721652,0.476310599,0.811044745,0.249979963,0.454737714,0.543654556,0.534507676,0.200758271,1
"2755",0.452795916,0.435223766,0.263408368,0.606183278,0.520960554,0.334047236,0.754294548,0.732815923,0.360326152,1
"2986",0.50262515,0.51148916,0.467450717,0.601828286,0.718714357,0.420997419,0.320907667,0.507028647,0.336241107,0
"2849",0.459122897,0.43315815,0.195291383,0.574931616,0.702446286,0.299482313,0.68699167,0.535420844,0.274995916,1
"490",0.40512588,0.498200317,0.282512438,0.38847431,0.596699419,0.398692121,0.497932764,0.253150454,0.343863397,0
"2731",0.50262515,0.408655622,0.430836333,0.53503105,0.54850471,0.334242917,0.354605495,0.457667067,0.697065561,1
"822",0.373352992,0.471133016,0.460997189,0.465167702,0.588849076,0.256887992,0.623107079,0.497622154,0.153063016,0
"1954",0.448410177,0.370454281,0.253348477,0.618845489,0.53546884,0.741292382,0.498788443,0.664969499,0.719419917,1
"2560",0.419329679,0.503265875,0.30520517,0.637356962,0.56741457,0.429649327,0.425288272,0.417196044,0.430853703,0
"2762",0.456659382,0.502024572,0.278085918,0.546223006,0.571348384,0.253459917,0.362084038,0.380506676,0.414896602,1
"2697",0.563505695,0.583877542,0.404781919,0.54358371,0.579703927,0.475087909,0.395773164,0.484309974,0.48856886,0
"862",0.50262515,0.498087351,0.462648138,0.485168774,0.573017018,0.349767856,0.338866097,0.497126625,0.36930792,0
"1357",0.517692927,0.590654807,0.512936048,0.68328029,0.579703927,0.65932827,0.429701325,0.591352081,0.353555054,0
"1899",0.443112346,0.332606978,0.10470676,0.27591489,0.579703927,0.734521117,0.427899025,0.548106384,0.539903453,1
"1700",0.353107746,0.79835841,0.189627199,0.667386978,0.579703927,0.412564693,0.500107058,0.178576812,0.684598521,0
"1971",0.469125687,0.508663214,0.325674868,0.543758154,0.579703927,0.365375353,0.389038168,0.685339917,0.448937047,1
"155",0.567772551,0.69209266,0.308810914,0.430525633,0.579703927,0.442717111,0.247635774,0.540036997,0.423946088,0
"1110",0.50262515,0.606565774,0.318054727,0.437995273,0.560109505,0.357333055,0.512009949,0.625464751,0.342531934,1
"2430",0.459887272,0.562605499,0.428975697,0.424574005,0.549531066,0.674498454,0.4000754,0.445904391,0.364976441,1
"2425",0.584943847,0.394993198,0.297367395,0.931068031,0.684944308,0.186877783,0.370570874,0.6411371,0.42720909,1
"1013",0.541549113,0.483572756,0.191578089,0.362059226,0.565794433,0.763124934,0.435297048,0.312163663,0.568591886,0
"1425",0.361717319,0.606101477,0.340099137,0.687500009,0.579703927,0.506583656,0.426571555,0.466130862,0.694403965,0
"1928",0.50262515,0.479972969,0.416742308,0.542881425,0.579703927,0.226645626,0.307979727,0.335361381,0.039667118,1
"2478",0.50262515,0.576119067,0.293896632,0.460675941,0.633919889,0.639741002,0.366277862,0.499832779,0.381841763,0
"1510",0.472727612,0.423743035,0.220924428,0.436278851,0.579703927,0.233826294,0.378627154,0.492742474,0.443764012,1
"335",0.50262515,0.737320611,0.443878751,0.479846417,0.705501222,0.661586479,0.438849037,0.626143658,0.287225581,1
"3060",0.588792213,0.606114759,0.478441532,0.623336955,0.579703927,0.582322454,0.540297517,0.724780618,0.397186015,0
"2309",0.50262515,0.452616263,0.432350061,0.541658286,0.58771718,0.574522825,0.44482276,0.686697291,0.575229239,1
"1445",0.489145248,0.429404283,0.094366538,0.452456478,0.693709025,0.456935318,0.341692393,0.513455887,0.530731243,0
"1358",0.563795141,0.558598906,0.331741093,0.413054849,0.482964309,0.214030151,0.50017828,0.574421199,0.350200742,0
"1484",0.50262515,0.721122714,0.109238086,0.740545473,0.82070082,0.304356068,0.426440251,0.548834014,0.508356318,1
"806",0.778934029,0.578808368,0.259057296,0.613266454,0.683701468,0.688675662,0.588386192,0.64912016,0.429242651,1
"2166",0.200254504,0.503068367,0.190456056,0.648926349,0.578769274,0.465342904,0.623838499,0.705484606,0.385694573,0
"1625",0.498229227,0.464246476,0.580896226,0.402524802,0.457496544,0.3839672,0.309780944,0.532869651,0.719698157,1
"3165",0.658711117,0.377315376,0.429868063,0.606277397,0.469256748,0.629731749,0.450258752,0.31505579,0.537767439,1
"2715",0.499406082,0.382833804,0.329500668,0.179756548,0.574532135,0.487292297,0.509018309,0.559231862,0.430104663,1
"1515",0.429995714,0.338914072,0.334045626,0.512839502,0.579703927,0.432294735,0.237480357,0.539930845,0.245231067,1
"2602",0.696898402,0.71467196,0.28928321,0.532058939,0.579703927,0.273196455,0.822515969,0.588141242,0.434677493,0
"1102",0.67782864,0.436921016,0.652009756,0.626004446,0.579703927,0.30305902,0.458556101,0.826125215,0.538985611,1
"3166",0.66933547,0.40003832,0.242756125,0.580106596,0.532317223,0.425685317,0.515172338,0.871931182,0.554130638,1
"1530",0.50262515,0.495513066,0.384298002,0.361052755,0.422351975,0.352121824,0.307035348,0.607024465,0.428146957,1
"635",0.595679401,0.561385982,0.344378551,0.412220435,0.579703927,0.432740646,0.509248563,0.653707766,0.638628143,0
"3272",0.333435835,0.530482334,0.7759474,0.533435533,0.656046794,0.603191517,0.448062012,0.535036709,0.56453411,1
"1607",0.460178317,0.491995977,0.185063148,0.67387366,0.793233988,0.355911441,0.534416033,0.670072823,0.272455829,1
"2060",0.502263147,0.557035046,0.397160613,0.427888346,0.773423672,0.332481762,0.407924098,0.71761316,0.561955541,0
"2447",0.654768438,0.497386338,0.351622994,0.929563623,0.498617166,0.237995109,0.558604068,0.40818977,0.752366498,1
"119",0.528386664,0.272438228,0.140119791,0.511678195,0.319879916,0.539237677,0.427812498,0.534507676,0.321262528,0
"2354",0.474347344,0.608029493,0.265442449,0.492394299,0.499267429,0.569450084,0.374680337,0.140167062,0.616046247,1
"769",0.752721317,0.553907363,0.222412328,0.548963999,0.796654314,0.278609074,0.569851459,0.584061913,0.448684567,1
"298",0.50262515,0.521789597,0.355092976,0.412899201,0.643377986,0.573433564,0.555228757,0.676362038,0.502853143,1
"1451",0.623242387,0.602768204,0.304430652,0.651125375,0.55400605,0.375521425,0.684127862,0.777639986,0.589060721,0
"431",0.57575783,0.582572983,0.249044757,0.412391295,0.661790186,0.423071319,0.504657076,0.606087757,0.406675302,0
"674",0.583265352,0.565802891,0.272616829,0.408793868,0.591574425,0.60579421,0.619212092,0.483973556,0.467029019,1
"993",0.50262515,0.650485493,0.650540939,0.645222271,0.579703927,0.624521312,0.442327537,0.534507676,0.64537295,0
"2708",0.510602924,0.45645437,0.498064136,0.343313161,0.579703927,0.602248386,0.473862794,0.463111281,0.540474536,0
"1550",0.575073015,0.450937111,0.460013872,0.472807885,0.539740148,0.551574053,0.536125293,0.733277241,0.438162815,1
"919",0.484579723,0.51570719,0.203852999,0.437085859,0.579703927,0.522549959,0.705226385,0.615627596,0.49578117,0
"791",0.350679927,0.50331059,0.218888188,0.701858912,0.579703927,0.488027702,0.381588387,0.722787309,0.441578114,1
"2310",0.572773686,0.545367975,0.374076166,0.729773812,0.550902464,0.374663907,0.426733639,0.552580715,0.328696792,1
"1932",0.502976101,0.474637452,0.41208949,0.502602802,0.53243619,0.361724781,0.358509455,0.588325846,0.311920243,1
"612",0.527631264,0.515661732,0.472886654,0.631605738,0.547019894,0.483616558,0.574595521,0.454575739,0.636548538,0
"2719",0.380331531,0.345947572,0.006695671,0.630240034,0.579703927,0.55173377,0.497113553,0.481412377,0.416336426,1
"1974",0.565574226,0.54381552,0.370702827,0.620896707,0.472547131,0.308841295,0.412175672,0.575654714,0.366063493,1
"3090",0.703004021,0.618315992,0.106133645,0.444375595,0.579703927,0.438654827,0.389484217,0.365757526,0.516013946,0
"2009",0.411176835,0.451735283,0.127505518,0.544237027,0.571353038,0.45688721,0.351139887,0.772018097,0.482526284,1
"2784",0.50262515,0.583159942,0.287562695,0.67149354,0.631237556,0.169232061,0.306833121,0.417894538,0.805386697,1
"3179",0.389762921,0.624203407,0.338994715,0.506832261,0.642224997,0.228266263,0.453229312,0.463358591,0.444218671,1
"2456",0.50262515,0.467846865,0.202831885,0.676045164,0.641330861,0.284924639,0.401642487,0.671978034,0.558494386,1
"421",0.461221252,0.525343299,0.295849822,0.663807248,0.587932097,0.587467403,0.811236208,0.414232283,0.224497048,0
"2051",0.49924587,0.545006161,0.194229306,0.597429831,0.602504696,0.213537032,0.464784916,0.568860359,0.454348185,0
"2492",0.535465049,0.579288946,0.642014921,0.637347583,0.557917323,0.678638547,0.464137425,0.534507676,0.361770327,0
"1689",0.573646801,0.635478811,0.292480516,0.657730962,0.526861993,0.47474394,0.378006238,0.631270888,0.357133697,0
"784",0.849862716,0.655444022,0.130948918,0.747368822,0.618269333,0.557279909,0.509075187,0.509414581,0.297781903,1
"2754",0.440251358,0.501858296,0.60686018,0.617521078,0.579703927,0.401672246,0.534944774,0.683044262,0.383294553,1
"285",0.568498878,0.449964543,0.382635115,0.719039933,0.372069787,0.255552787,0.533222623,0.868199791,0.614106242,1
"619",0.645935402,0.486538103,0.130571968,0.496989583,0.579703927,0.334116469,0.289745625,0.523099884,0.483739713,0
"3056",0.665323028,0.565521125,0.373792078,0.47632646,0.478841169,0.334978488,0.544167566,0.636250073,0.310633479,0
"2056",0.670000507,0.431052612,0.527868846,0.547204279,0.579703927,0.554034093,0.405359592,0.454765599,0.589195254,0
"305",0.637427186,0.321033862,0.453136197,0.940217991,0.579703927,0.409446708,0.373559916,0.556350534,0.5115491,1
"2724",0.509816336,0.591496124,0.282165873,0.544260524,0.490417548,0.214660879,0.416705267,0.515105567,0.286288779,1
"1621",0.464972974,0.545273358,0.325110294,0.509650259,0.63634226,0.509261366,0.339418333,0.518613271,0.44485151,1
"2648",0.629390875,0.808066789,0.194027373,0.795972995,0.657032504,0.447718279,0.526922619,0.544697447,0.78226432,0
"783",0.571292161,0.702117858,0.152509758,0.742884233,0.285701154,0.4326218,0.490060038,0.317246021,0.222451651,1
"2691",0.595210963,0.68591183,0.304744612,0.307138399,0.579703927,0.355411834,0.495059587,0.444335957,0.37025895,0
"2101",0.349591291,0.497369221,0.174064218,0.556532499,0.635825963,0.274888307,0.744242084,0.732341956,0.405556979,0
"387",0.50262515,0.529835522,0.688720605,0.677412351,0.367560852,0.35533439,0.263803776,0.606039436,0.406832195,1
"342",0.50262515,0.485246253,0.491900984,0.785169987,0.36255386,0.535995026,0.350433017,0.552529292,0.440452731,1
"2062",0.378156814,0.67771063,0.434934986,0.255135674,0.683487276,0.681096852,0.405202042,0.356457648,0.391842332,0
"209",0.716154226,0.641419982,0.240389687,0.553918836,0.590780815,0.587608425,0.638257428,0.524293388,0.516596253,0
"2678",0.50262515,0.743483905,0.326342599,0.173014126,0.629342252,0.47824048,0.376699733,0.556166962,0.698892536,0
"2214",0.450355119,0.731434356,0.340285353,0.399551671,0.579703927,0.267015005,0.49383458,0.422301185,0.52397537,0
"1277",0.384759854,0.578416515,0.329944912,0.54487295,0.645921816,0.600917006,0.307210166,0.562177471,0.542805856,0
"2737",0.312491259,0.351135255,0.280157022,0.66899696,0.579703927,0.38608727,0.441218558,0.448246793,0.298753611,1
"2890",0.604354569,0.686997739,0.210781406,0.401274028,0.579703927,0.640766364,0.557144168,0.596400709,0.619870263,0
"1627",0.464647558,0.649230335,0.273554659,0.51557472,0.537583061,0.529166458,0.62555957,0.646791472,0.27245198,1
"582",0.563931833,0.461604564,0.16655628,0.57270571,0.629307201,0.508095923,0.47639498,0.487775906,0.309024623,0
"3257",0.543373137,0.41036103,0.638093824,0.5850811,0.520000376,0.562506492,0.427854195,0.497187356,0.39232882,1
"1792",0.485151818,0.429327969,0.286697356,0.36153434,0.507775976,0.330705416,0.495712405,0.777713667,0.490194298,0
"1857",0.516681317,0.667878764,0.267633474,0.447830991,0.579703927,0.51470373,0.248609765,0.284726587,0.421443575,0
"1389",0.630594761,0.517039133,0.216842221,0.531817408,0.794224067,0.274593461,0.626187751,0.534507676,0.303048241,0
"1503",0.708363718,0.541081156,0.605755274,0.55233014,0.337853701,0.59641429,0.126898073,0.625438627,0.367427752,1
"1162",0.539854545,0.395477096,0.533811994,0.231671801,0.364390308,0.167437118,0.599893248,0.501493859,0.348321073,1
"744",0.581265219,0.476200372,0.549463673,0.684922516,0.579703927,0.523887629,0.385945619,0.772073209,0.244633532,1
"667",0.50262515,0.392625745,0.849490509,0.174211763,0.670626175,0.247468896,0.458490512,0.385490315,0.104132545,1
"2260",0.561136169,0.588772262,0.320644256,0.601712107,0.486585353,0.326922984,0.625486864,0.458380312,0.51085079,0
"2433",0.593598119,0.559391157,0.376636685,0.70400167,0.580265879,0.193810202,0.376431647,0.510332627,0.386283586,1
"2757",0.413005645,0.554868457,0.411208647,0.698087371,0.579703927,0.601633081,0.324732472,0.432761872,0.682427977,1
"1169",0.390971671,0.620551722,0.234580519,0.412474496,0.579703927,0.509414295,0.321210008,0.587107193,0.663229768,1
"385",0.695682996,0.433515895,0.218404789,0.538858846,0.727377403,0.328940489,0.387839227,0.549787052,0.211397216,1
"2990",0.262745129,0.508047762,0.374057942,0.53175302,0.579703927,0.295626659,0.304217176,0.541271277,0.572907653,0
"91",0.50262515,0.546072366,0.276365112,0.571992481,0.56892864,0.688335819,0.370535689,0.554687054,0.554721462,0
"2684",0.531799235,0.645523943,0.400953778,0.696399153,0.579703927,0.385815234,0.51095705,0.700507206,0.413668856,0
"2939",0.456625747,0.613886304,0.31199973,0.434787122,0.438045723,0.308976131,0.48975656,0.331396585,0.561831753,0
"1178",0.39172509,0.541761281,0.312897533,0.364127642,0.473228744,0.291881947,0.632715538,0.613945521,0.565108425,1
"974",0.317417918,0.699098636,0.389932391,0.737096398,0.593847274,0.616384416,0.37078857,0.554092281,0.678411599,0
"2960",0.302397044,0.535173469,0.358991403,0.529534973,0.706889891,0.304853791,0.485026753,0.49713929,0.390560045,0
"1937",0.50262515,0.429685917,0.184643322,0.624199995,0.579703927,0.328413241,0.199305294,0.535030665,0.407088238,1
"130",0.464749126,0.561691808,0.275277715,0.457924287,0.56149194,0.525108901,0.54924084,0.368870762,0.396818981,0
"2692",0.50262515,0.669374873,0.347089081,0.651388113,0.6581024,0.338542107,0.382329044,0.536471103,0.473641678,0
"714",0.349835122,0.441811037,0.235702787,0.623609185,0.579703927,0.447758973,0.53713184,0.658838947,0.462178925,1
"2258",0.524900802,0.60677818,0.532313891,0.469591313,0.542751349,0.448643175,0.520788285,0.44318976,0.396017634,0
"639",0.334364197,0.627671917,0.630928133,0.336635134,0.504078817,0.456488077,0.334914555,0.534507676,0.505908552,0
"397",0.50262515,0.709042831,0.153248485,0.461994551,0.655243628,0.711859137,0.497969909,0.503681996,0.794521103,1
"3147",0.5926988,0.493964719,0.328299361,0.528908761,0.548520002,0.199647518,0.433072663,0.498873408,0.527362559,1
"2627",0.532538655,0.645220575,0.261403662,0.61464596,0.628093316,0.262634855,0.418197909,0.482096251,0.279894989,0
"1025",0.480684299,0.706339487,0.28986532,0.740246666,0.548915572,0.4535659,0.435679031,0.498462438,0.482786548,0
"2044",0.509147304,0.522208916,0.408933421,0.489694272,0.540438347,0.415873987,0.408634719,0.630611959,0.578671822,1
"1959",0.511052563,0.546680087,0.531308914,0.674807141,0.437770107,0.612247009,0.67457039,0.658668738,0.601239504,1
"3057",0.697138413,0.490833248,0.322207074,0.498415388,0.579703927,0.283484639,0.676756867,0.689300546,0.743381713,0
"2435",0.559569345,0.701509396,0.416606337,0.309080959,0.490753829,0.456856841,0.562800685,0.780139669,0.636210413,1
"1199",0.542220703,0.537679006,0.281148943,0.387872476,0.579703927,0.587067149,0.482741493,0.689894569,0.582566839,1
"1084",0.551006383,0.534314678,0.443567261,0.569812686,0.548454973,0.290885495,0.323440199,0.510984187,0.327582314,1
"373",0.451387968,0.484357982,0.590379045,0.752137148,0.416417573,0.220697123,0.612909232,0.753324188,0.227477158,1
"2440",0.563983509,0.439954904,0.4663343,0.703677122,0.639081245,0.587475236,0.375202005,0.641905468,0.556198022,1
"691",0.551505607,0.58400894,0.277930018,0.574040684,0.447130172,0.153062033,0.366181925,0.455505573,0.335403874,1
"1720",0.637707566,0.510070728,0.35823803,0.305340228,0.702593855,0.449467252,0.245133077,0.747110388,0.760891416,0
"975",0.589082019,0.46602669,0.157504693,0.36184001,0.555159933,0.211095341,0.339866338,0.573576328,0.47116076,0
"2334",0.50262515,0.573952148,0.438772962,0.288213978,0.480679224,0.584534405,0.262741333,0.383668038,0.494878813,1
"2350",0.392569714,0.373977188,0.29574451,0.557317242,0.817793943,0.207875098,0.386980579,0.445950745,0.652493519,1
"3202",0.39500393,0.582411605,0.633725329,0.484628922,0.656393754,0.430491793,0.636516493,0.490637662,0.35497677,1
"319",0.470983165,0.674963846,0.414878056,0.738449772,0.579703927,0.538978598,0.467034833,0.370965761,0.169517507,1
"2903",0.470571949,0.716419845,0.38712005,0.503243532,0.411147856,0.261307597,0.270138986,0.378468139,0.523058133,0
"2816",0.492039115,0.479522349,0.499149987,0.48746208,0.442818677,0.370737282,0.210766673,0.50750097,0.274424663,1
"3246",0.50262515,0.511819743,0.400459246,0.530529962,0.579703927,0.654120802,0.56548923,0.448643555,0.544846077,1
"313",0.50262515,0.414935784,0.475783341,0.522645534,0.629010415,0.339763837,0.672895651,0.697380027,0.387138853,1
"620",0.608790149,0.559234553,0.392182314,0.537668588,0.579703927,0.446162946,0.518798419,0.507638224,0.692451572,0
"1035",0.508422696,0.611857865,0.32421351,0.724356228,0.625186909,0.263155677,0.587706119,0.675754555,0.522512376,0
"283",0.495837103,0.456677703,0.324940011,0.496688383,0.579703927,0.337498621,0.67959717,0.534507676,0.588614704,1
